base_property,direction_variant,direction_space,decode_mode,seed_index,seed_band,seed_canonical_smiles,seed_raw_property,target_metric_name,confound_name,delta_step_std_effective,target_total_span_std,fixed_span_scale_vs_nominal,predicted_delta_prop_path_end,pack_size,step_count,dp_path_total_cost,greedy_medoid_total_cost,dp_beats_or_matches_medoid,target_spearman,target_slope,target_monotonic_violation_count,validity_fraction,uniqueness_fraction_valid,path_unique_canonical_count,path_constant_across_steps,path_similarity_to_seed_mean,path_similarity_to_seed_end,adjacent_step_tanimoto_mean,adjacent_step_tanimoto_median,confound_spearman,confound_slope,confound_delta_end_start,selfies_len_tokens_spearman,selfies_len_tokens_slope,selfies_len_tokens_delta_end_start,ring_token_count_spearman,ring_token_count_slope,ring_token_count_delta_end_start,branch_token_count_spearman,branch_token_count_slope,branch_token_count_delta_end_start,token_entropy_spearman,token_entropy_slope,token_entropy_delta_end_start,heavy_atom_delta_end_start,carbon_delta_end_start,heteroatom_delta_end_start,ring_delta_end_start,aromatic_ring_delta_end_start,heavy_atom_consistency_fraction,carbon_consistency_fraction,heteroatom_consistency_fraction,ring_consistency_fraction,aromatic_ring_consistency_fraction
TPSA,confound,standardized_latent,fixed_length_seed_pred,1,mid,N#Cc1ccc(F)cc1N1CCN(Cc2cn3cc(Cl)ccc3n2)CC1,47.57000000000001,branch_token_count,branch_token_count,7.373126029968262,29.492504119873047,68.6716929665608,93.79107309955998,0,5,1.6682368178269817,1.6682368178269817,1.0,0.7071067811865475,0.10850214640959333,0,1.0,0.2,4,0.0,0.7057228017883757,0.5909090909090909,0.6749024199843872,0.7498048399687745,0.7071067811865475,0.10850214640959333,4.0,0.9486832980505138,0.8002033297707507,29.0,0.7071067811865475,0.10850214640959333,4.0,0.7071067811865475,0.10850214640959333,4.0,0.6668859288553501,0.005347011570947581,0.19958062983421732,18.0,12.0,6.0,3.0,2.0,1.0,0.6666666666666666,1.0,1.0,1.0
TPSA,random,standardized_latent,free_length,1,mid,N#Cc1ccc(F)cc1N1CCN(Cc2cn3cc(Cl)ccc3n2)CC1,47.57000000000001,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,,0,5,2.777759601999218,2.777759601999218,1.0,-0.9746794344808964,-1.8020850241803332,0,1.0,0.2,4,0.0,0.5254869171748967,0.07692307692307693,0.45384543788304027,0.3692293373045421,-0.10540925533894596,-0.013562768301199169,-1.0,-0.7071067811865475,-0.10850214640959366,-4.0,-0.35355339059327373,-0.013562768301199207,0.0,-0.10540925533894596,-0.013562768301199169,-1.0,-0.6668859288553501,-0.007079024291020321,-0.27703455587203285,-13.0,-9.0,-4.0,0.0,0.0,0.5,0.5,0.5,,
TPSA,random,standardized_latent,fixed_length_seed_pred,1,mid,N#Cc1ccc(F)cc1N1CCN(Cc2cn3cc(Cl)ccc3n2)CC1,47.57000000000001,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,,0,5,2.784357479731906,2.784357479731906,1.0,-0.9746794344808964,-1.8020850241803332,0,1.0,0.2,4,0.0,0.5252093963608357,0.07692307692307693,0.45228269370426233,0.3661038489469862,-0.44721359549995787,-0.04068830490359751,-2.0,-0.7071067811865475,-0.027125536602398873,-1.0,0.5270462766947299,0.040688304903597455,2.0,-0.44721359549995787,-0.04068830490359751,-2.0,-0.6668859288553501,-0.006881028548991059,-0.2697353180751394,-14.0,-10.0,-4.0,0.0,0.0,0.5,0.5,0.5,,
TPSA,raw,standardized_latent,free_length,2,high,CCOC(=O)c1c[nH]oc1=O,72.30000000000001,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,1842.8505009335204,0,5,0.9027777777777778,0.9027777777777778,1.0,-0.7071067811865475,-1.2477746837103243,0,1.0,0.1,2,0.0,0.8555555555555555,0.2777777777777778,0.8194444444444444,1.0,-0.7071067811865475,-0.027125536602398338,-1.0,-0.7071067811865475,-0.16275321961439004,-6.0,-0.7071067811865475,-0.027125536602398338,-1.0,-0.7071067811865475,-0.027125536602398338,-1.0,-0.7071067811865475,-0.013655395539254538,-0.50341476149995,-4.0,-1.0,-3.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
TPSA,raw,standardized_latent,fixed_length_seed_pred,2,high,CCOC(=O)c1c[nH]oc1=O,72.30000000000001,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,1842.8505009335204,0,5,0.0,0.0,1.0,,-6.094927472435354e-16,0,1.0,0.05,1,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,,-7.618659340544192e-17,0.0,,0.0,0.0,,0.0,0.0,,-9.52332417568024e-18,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
TPSA,residual,standardized_latent,free_length,2,high,CCOC(=O)c1c[nH]oc1=O,72.30000000000001,resid_TPSA,branch_token_count,7.373126029968262,29.492504119873047,166.36959889735522,1862.150504354373,0,5,1.0869565217391304,1.0869565217391304,1.0,-0.7071067811865475,-0.1594254515041074,0,1.0,0.1,2,0.0,0.826086956521739,0.13043478260869565,0.782608695652174,1.0,-0.7071067811865475,-0.027125536602398338,-1.0,,-7.618659340544192e-17,0.0,,0.0,0.0,-0.7071067811865475,-0.027125536602398338,-1.0,-0.7071067811865475,-0.002506931895617078,-0.09241962407465931,0.0,0.0,0.0,0.0,-1.0,,,,,1.0
TPSA,residual,standardized_latent,fixed_length_seed_pred,2,high,CCOC(=O)c1c[nH]oc1=O,72.30000000000001,resid_TPSA,branch_token_count,7.373126029968262,29.492504119873047,166.36959889735522,1862.150504354373,0,5,1.0869565217391304,1.0869565217391304,1.0,-0.7071067811865475,-0.1594254515041074,0,1.0,0.1,2,0.0,0.826086956521739,0.13043478260869565,0.782608695652174,1.0,-0.7071067811865475,-0.027125536602398338,-1.0,,-7.618659340544192e-17,0.0,,0.0,0.0,-0.7071067811865475,-0.027125536602398338,-1.0,-0.7071067811865475,-0.002506931895617078,-0.09241962407465931,0.0,0.0,0.0,0.0,-1.0,,,,,1.0
TPSA,confound,standardized_latent,free_length,2,high,CCOC(=O)c1c[nH]oc1=O,72.30000000000001,branch_token_count,branch_token_count,7.373126029968262,29.492504119873047,68.6716929665608,93.79107309955998,0,5,1.546875,1.546875,1.0,0.22360679774997894,0.17631598791558914,1,1.0,0.1,2,0.0,0.8625,1.0,0.65625,0.65625,0.22360679774997894,0.17631598791558914,7.0,0.22360679774997894,0.9087054761803439,37.0,-0.35355339059327373,-0.01356276830119916,0.0,0.22360679774997894,0.17631598791558914,7.0,-0.7826237921249264,-0.020185624967701807,-0.3776736249761239,0.0,0.0,0.0,0.0,0.0,,,,,
TPSA,confound,standardized_latent,fixed_length_seed_pred,2,high,CCOC(=O)c1c[nH]oc1=O,72.30000000000001,branch_token_count,branch_token_count,7.373126029968262,29.492504119873047,68.6716929665608,93.79107309955998,0,5,0.0,0.0,1.0,,0.0,0,1.0,0.05,1,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.7071067811865475,0.027125536602398262,1.0,,0.0,0.0,,0.0,0.0,0.7071067811865475,0.003279069430964946,0.12088496087760503,0.0,0.0,0.0,0.0,0.0,,,,,
TPSA,random,standardized_latent,free_length,2,high,CCOC(=O)c1c[nH]oc1=O,72.30000000000001,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,,0,5,2.4602675765466464,2.4602675765466464,1.0,0.35909242322980395,0.22175126172460607,1,1.0,0.2,4,0.0,0.6063571877525366,0.23255813953488372,0.5079464846906707,0.3996138996138996,-0.7071067811865475,-0.027125536602398338,-1.0,,-7.618659340544192e-17,0.0,,0.0,0.0,-0.7071067811865475,-0.027125536602398338,-1.0,-0.8944271909999157,-0.01711167090063202,-0.6308325306685016,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.5,,
