base_property,direction_variant,target_name,direction_space,w_raw_norm,w_std_norm,delta_prop_nominal,delta_step_std_nominal,fixed_span_scale_vs_nominal,delta_step_std_effective,expected_total_span_std,target_total_span_std,benchmark_total_span_std_ref,active_reference_step_span
FractionCSP3,confound,token_entropy,standardized_latent,4.14678955078125,0.8680532574653625,0.06177740554219052,0.07116775959412328,51.80102670098036,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
FractionCSP3,random,FractionCSP3,standardized_latent,1.0,0.6260975003242493,0.05443734659562052,0.0687539915322957,53.619621680472875,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
AromaticRingCount,raw,AromaticRingCount,standardized_latent,14.288728713989258,3.2319416999816895,0.2814418731476508,0.08708135828973812,42.33469811894935,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
AromaticRingCount,residual,resid_AromaticRingCount,standardized_latent,15.174996376037598,3.2415313720703125,0.1897446609490946,0.058535500406990605,62.97995215470752,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
AromaticRingCount,confound,selfies_len_tokens,standardized_latent,66.56986999511719,17.22076416015625,3.158237375671086,0.1833970517393364,20.101539147008047,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
AromaticRingCount,random,AromaticRingCount,standardized_latent,1.0,0.5758056640625,0.2814418731476508,0.08708135828973812,42.33469811894935,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
RingCount,raw,RingCount,standardized_latent,14.427350997924805,3.5947322845458984,0.31946144783358316,0.08886932949276329,41.48296196253322,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
RingCount,residual,resid_RingCount,standardized_latent,12.26460075378418,2.9090850353240967,0.16011290498963154,0.05503892221967778,66.98101754736201,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
RingCount,confound,ring_token_count,standardized_latent,23.890790939331055,5.58543586730957,0.6344204388816042,0.11358476830693537,32.45649104131714,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
RingCount,random,RingCount,standardized_latent,1.0,0.5838848948478699,0.31946144783358316,0.08886932949276329,41.48296196253322,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
HeavyAtomCount,raw,HeavyAtomCount,standardized_latent,60.59735870361328,13.869640350341797,1.7145624201081444,0.12361981830811435,29.82177991716193,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
HeavyAtomCount,residual,resid_HeavyAtomCount,standardized_latent,26.80180549621582,5.806107044219971,0.2943105003911,0.05068981645525958,72.72788249762172,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
HeavyAtomCount,confound,selfies_len_tokens,standardized_latent,66.56986999511719,17.22076416015625,3.158237375671086,0.1833970517393364,20.101539147008047,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
HeavyAtomCount,random,HeavyAtomCount,standardized_latent,0.9999999403953552,0.590593159198761,1.7145624201081444,0.12361981830811435,29.82177991716193,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
MolWt,raw,MolWt,standardized_latent,1144.1427001953125,258.0664978027344,24.058271254686254,0.09322508523782254,39.544753491825695,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
MolWt,residual,resid_MolWt,standardized_latent,829.9844970703125,183.12107849121094,7.42742454708912,0.04056018350419231,90.89118185579922,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
MolWt,confound,selfies_len_tokens,standardized_latent,66.56986999511719,17.22076416015625,3.158237375671086,0.1833970517393364,20.101539147008047,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
MolWt,random,MolWt,standardized_latent,1.0,0.5774054527282715,24.058271254686254,0.09322508523782254,39.544753491825695,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
BertzCT,raw,BertzCT,standardized_latent,3085.09521484375,720.2754516601562,80.97640203896337,0.11242421472552147,32.79153894011805,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
BertzCT,residual,resid_BertzCT,standardized_latent,2611.259033203125,560.5538940429688,30.82378847031975,0.05498809088275994,67.0429352210872,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
BertzCT,confound,selfies_len_tokens,standardized_latent,66.56986999511719,17.22076416015625,3.158237375671086,0.1833970517393364,20.101539147008047,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
BertzCT,random,BertzCT,standardized_latent,1.0,0.5802804231643677,80.97640203896337,0.11242421472552147,32.79153894011805,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
ExactMolWt,raw,ExactMolWt,standardized_latent,1139.03125,257.0625915527344,24.02278989044666,0.09345113089128168,39.449100078553045,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
ExactMolWt,residual,resid_ExactMolWt,standardized_latent,823.7711791992188,181.83230590820312,7.364796395741366,0.04050323378431683,91.01897973419585,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
